layer,name,params,param_MB,activations,activation_MB,flops,time_ms,in_shape,out_shape,cum_params,cum_param_MB,cum_activation_MB,cum_flops,cum_time
0,Conv2d,590592,2.2529296875,150528,0.57421875,115605504.0,1.5862999971432146,"[[1, 3, 224, 224]]","[[1, 768, 14, 14]]",590592,2.2529296875,0.57421875,115605504.0,1.5862999971432146
1,Dropout,0,0.0,151296,0.5771484375,151296.0,0.047631998313590884,"[[1, 197, 768]]","[[1, 197, 768]]",590592,2.2529296875,1.1513671875,115756800.0,1.6339319954568055
2,LayerNorm,1536,0.005859375,151296,0.5771484375,151296.0,0.11796100079664029,"[[1, 197, 768]]","[[1, 197, 768]]",592128,2.2587890625,1.728515625,115908096.0,1.7518929962534457
4,Dropout,0,0.0,151296,0.5771484375,151296.0,0.06299699816736393,"[[1, 197, 768]]","[[1, 197, 768]]",592128,2.2587890625,2.3056640625,116059392.0,1.8148899944208097
5,LayerNorm,1536,0.005859375,151296,0.5771484375,151296.0,0.10650700278347358,"[[1, 197, 768]]","[[1, 197, 768]]",593664,2.2646484375,2.8828125,116210688.0,1.9213969972042833
6,Linear,2362368,9.01171875,605184,2.30859375,464781312.0,6.889748998219147,"[[1, 197, 768]]","[[1, 197, 3072]]",2956032,11.2763671875,5.19140625,580992000.0,8.81114599542343
7,GELU,0,0.0,605184,2.30859375,605184.0,0.45578299977933057,"[[1, 197, 3072]]","[[1, 197, 3072]]",2956032,11.2763671875,7.5,581597184.0,9.266928995202761
8,Dropout,0,0.0,605184,2.30859375,605184.0,0.05349800267140381,"[[1, 197, 3072]]","[[1, 197, 3072]]",2956032,11.2763671875,9.80859375,582202368.0,9.320426997874165
9,Linear,2360064,9.0029296875,151296,0.5771484375,464781312.0,5.288013999233954,"[[1, 197, 3072]]","[[1, 197, 768]]",5316096,20.279296875,10.3857421875,1046983680.0,14.608440997108119
10,Dropout,0,0.0,151296,0.5771484375,151296.0,0.027308000426273793,"[[1, 197, 768]]","[[1, 197, 768]]",5316096,20.279296875,10.962890625,1047134976.0,14.635748997534392
11,LayerNorm,1536,0.005859375,151296,0.5771484375,151296.0,0.10455200026626699,"[[1, 197, 768]]","[[1, 197, 768]]",5317632,20.28515625,11.5400390625,1047286272.0,14.74030099780066
13,Dropout,0,0.0,151296,0.5771484375,151296.0,0.046164001105353236,"[[1, 197, 768]]","[[1, 197, 768]]",5317632,20.28515625,12.1171875,1047437568.0,14.786464998906013
14,LayerNorm,1536,0.005859375,151296,0.5771484375,151296.0,0.12543399861897342,"[[1, 197, 768]]","[[1, 197, 768]]",5319168,20.291015625,12.6943359375,1047588864.0,14.911898997524986
15,Linear,2362368,9.01171875,605184,2.30859375,464781312.0,7.240978997288039,"[[1, 197, 768]]","[[1, 197, 3072]]",7681536,29.302734375,15.0029296875,1512370176.0,22.152877994813025
16,GELU,0,0.0,605184,2.30859375,605184.0,0.4320369989727624,"[[1, 197, 3072]]","[[1, 197, 3072]]",7681536,29.302734375,17.3115234375,1512975360.0,22.584914993785787
17,Dropout,0,0.0,605184,2.30859375,605184.0,0.03198800186510198,"[[1, 197, 3072]]","[[1, 197, 3072]]",7681536,29.302734375,19.6201171875,1513580544.0,22.61690299565089
18,Linear,2360064,9.0029296875,151296,0.5771484375,464781312.0,6.272074002481531,"[[1, 197, 3072]]","[[1, 197, 768]]",10041600,38.3056640625,20.197265625,1978361856.0,28.88897699813242
19,Dropout,0,0.0,151296,0.5771484375,151296.0,0.027657002647174522,"[[1, 197, 768]]","[[1, 197, 768]]",10041600,38.3056640625,20.7744140625,1978513152.0,28.916634000779595
20,LayerNorm,1536,0.005859375,151296,0.5771484375,151296.0,0.10874299914576113,"[[1, 197, 768]]","[[1, 197, 768]]",10043136,38.3115234375,21.3515625,1978664448.0,29.025376999925356
22,Dropout,0,0.0,151296,0.5771484375,151296.0,0.04588599767885171,"[[1, 197, 768]]","[[1, 197, 768]]",10043136,38.3115234375,21.9287109375,1978815744.0,29.071262997604208
23,LayerNorm,1536,0.005859375,151296,0.5771484375,151296.0,0.11111700223409571,"[[1, 197, 768]]","[[1, 197, 768]]",10044672,38.3173828125,22.505859375,1978967040.0,29.182379999838304
24,Linear,2362368,9.01171875,605184,2.30859375,464781312.0,7.948258997203084,"[[1, 197, 768]]","[[1, 197, 3072]]",12407040,47.3291015625,24.814453125,2443748352.0,37.13063899704139
25,GELU,0,0.0,605184,2.30859375,605184.0,0.4960810001648497,"[[1, 197, 3072]]","[[1, 197, 3072]]",12407040,47.3291015625,27.123046875,2444353536.0,37.62671999720624
26,Dropout,0,0.0,605184,2.30859375,605184.0,0.03289500091341324,"[[1, 197, 3072]]","[[1, 197, 3072]]",12407040,47.3291015625,29.431640625,2444958720.0,37.65961499811965
27,Linear,2360064,9.0029296875,151296,0.5771484375,464781312.0,6.3674769990029745,"[[1, 197, 3072]]","[[1, 197, 768]]",14767104,56.33203125,30.0087890625,2909740032.0,44.027091997122625
28,Dropout,0,0.0,151296,0.5771484375,151296.0,0.03045000266865827,"[[1, 197, 768]]","[[1, 197, 768]]",14767104,56.33203125,30.5859375,2909891328.0,44.05754199979128
29,LayerNorm,1536,0.005859375,151296,0.5771484375,151296.0,0.11097799870185554,"[[1, 197, 768]]","[[1, 197, 768]]",14768640,56.337890625,31.1630859375,2910042624.0,44.16851999849314
